name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
Ecole primaire de Gogho,school,Burkina Faso,BFA,HOTOSM/OSM,12.877916,-2.517143,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.884511,-2.575005,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.855711,-2.722792,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.951936,-2.713589,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,13.111156,-2.596429,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,13.091758,-2.599909,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,13.051935,-2.599462,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,13.133034,-2.599039,,,
,,Burkina Faso,BFA,HOTOSM/OSM,13.038236,-2.617722,school,,
CEG,school,Burkina Faso,BFA,HOTOSM/OSM,13.060812,-2.615033,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,13.06518,-2.6196,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,13.066893,-2.687209,,,
,,Burkina Faso,BFA,HOTOSM/OSM,13.110038,-2.696874,school,,
Ecole primaire publique de Ouindingtenga,school,Burkina Faso,BFA,HOTOSM/OSM,12.924904,-2.720066,,,
Ecole primaire de Niouma,school,Burkina Faso,BFA,HOTOSM/OSM,12.93306,-2.643003,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.669206,-2.928553,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.66583,-2.928586,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.655675,-2.924817,school,,
Lycée privé Moderne Saint Moïse,school,Burkina Faso,BFA,HOTOSM/OSM,12.693645,-2.889874,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.656034,-2.79487,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.83122,-2.670506,school,,
ecoleprimaire de kera,school,Burkina Faso,BFA,HOTOSM/OSM,12.694588,-2.723413,,,
Ecole primaire de Bôh,school,Burkina Faso,BFA,HOTOSM/OSM,13.399526,-2.523088,,,
,,Burkina Faso,BFA,HOTOSM/OSM,13.359301,-2.528618,school,,
Ecole primaire de Rega,school,Burkina Faso,BFA,HOTOSM/OSM,13.365567,-2.566756,,,
,,Burkina Faso,BFA,HOTOSM/OSM,13.394588,-2.587128,school,,
