name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.349883,-1.436773,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.351349,-1.436598,,,
Les Écoles Privées Sainte Philomène,school,Burkina Faso,BFA,HOTOSM/OSM,12.424005,-1.598277,,,
Lycée Privé TOUNDA-SIDA,college,Burkina Faso,BFA,HOTOSM/OSM,12.425443,-1.592632,,,
OSMANLI SIDDIKLAR,school,Burkina Faso,BFA,HOTOSM/OSM,12.427205,-1.594542,,,
WEND SONGDA,school,Burkina Faso,BFA,HOTOSM/OSM,12.427542,-1.591086,,,
École Primaire Privée Teel-Taaba,school,Burkina Faso,BFA,HOTOSM/OSM,12.426599,-1.58711,,,
Groupe Scolaire E.D.I.F,school,Burkina Faso,BFA,HOTOSM/OSM,12.420245,-1.591561,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.342152,-1.435469,,,
Groupe Scolaire la Relève Vaillante,school,Burkina Faso,BFA,HOTOSM/OSM,12.423118,-1.600397,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.3437,-1.440558,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.344299,-1.439061,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.34291,-1.436756,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.340366,-1.442086,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.334632,-1.426702,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.339519,-1.426822,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.335777,-1.43084,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.33862,-1.432516,,,
Lycée Technique Abbé Pierre,school,Burkina Faso,BFA,HOTOSM/OSM,12.421294,-1.592076,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.367738,-1.42949,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.361372,-1.434846,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.359754,-1.430989,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.363369,-1.422327,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.375395,-1.420201,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.351773,-1.440593,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.375682,-1.432314,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.378576,-1.429127,,,
Lycée Wend-Puiré de Saaba,school,Burkina Faso,BFA,HOTOSM/OSM,12.381412,-1.422858,,,
Ecole maternelle,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.390557,-1.433688,,,
Ecole Bethsaleel,school,Burkina Faso,BFA,HOTOSM/OSM,12.390534,-1.433147,,,
lycée privé Elisa,school,Burkina Faso,BFA,HOTOSM/OSM,12.3854,-1.428712,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.383087,-1.432392,,,
